Aleph_Number	RL_Number	EADID	URL	
002156025	RL.10378	trent-cruveilhierjpapers	http://library.duke.edu/rubenstein/findingaids/trent-cruveilhierjpapers/
002133841	RL.10379	trent-cullenwilliampapers	http://library.duke.edu/rubenstein/findingaids/trent-cullenwilliampapers/
002133842	RL.10380	trent-curtisalvadocument	http://library.duke.edu/rubenstein/findingaids/trent-curtisalvadocument/
002133843	RL.10381	trent-curtishholbrook	http://library.duke.edu/rubenstein/findingaids/trent-curtishholbrook/
002133844	RL.10382	trent-curtisjohnharrison	http://library.duke.edu/rubenstein/findingaids/trent-curtisjohnharrison/
002133846	RL.10383	trent-curtisjosiah	http://library.duke.edu/rubenstein/findingaids/trent-curtisjosiah/
002133847	RL.10384	trent-cutbushedwardpapers	http://library.duke.edu/rubenstein/findingaids/trent-cutbushedwardpapers/
002133851	RL.10385	trent-dallingerwh	http://library.duke.edu/rubenstein/findingaids/trent-dallingerwh/
002133852	RL.10386	trent-dannejacquespapers	http://library.duke.edu/rubenstein/findingaids/trent-dannejacquespapers/
002133853	RL.10387	trent-darwincharlespapers	http://library.duke.edu/rubenstein/findingaids/trent-darwincharlespapers/
002133854	RL.10388	trent-darwinerasmus	http://library.duke.edu/rubenstein/findingaids/trent-darwinerasmus/
002133855	RL.10389	trent-darwinfrancissacheverelldocument	http://library.duke.edu/rubenstein/findingaids/trent-darwinfrancissacheverelldocument/
002133856	RL.10390	trent-davidsonjamespapers	http://library.duke.edu/rubenstein/findingaids/trent-davidsonjamespapers/
002133857	RL.10391	trent-daviscarlhenry	http://library.duke.edu/rubenstein/findingaids/trent-daviscarlhenry/
003956850	RL.10392	trent-davisricharda	http://library.duke.edu/rubenstein/findingaids/trent-davisricharda/
002133859	RL.10393	trent-davyhumphrypapers	http://library.duke.edu/rubenstein/findingaids/trent-davyhumphrypapers/
002133860	RL.10394	trent-dawkinswilliamboydpapers	http://library.duke.edu/rubenstein/findingaids/trent-dawkinswilliamboydpapers/
002133861	RL.10395	trent-dawsonjohnwilliam	http://library.duke.edu/rubenstein/findingaids/trent-dawsonjohnwilliam/
002137043	RL.10396	trent-dechambreamedeepapers	http://library.duke.edu/rubenstein/findingaids/trent-dechambreamedeepapers/
001636224	RL.10397	trent-deferejdocument	http://library.duke.edu/rubenstein/findingaids/trent-deferejdocument/
002147956	RL.10398	trent-delafieldedward	http://library.duke.edu/rubenstein/findingaids/trent-delafieldedward/
002138367	RL.10399	trent-demarquayjn	http://library.duke.edu/rubenstein/findingaids/trent-demarquayjn/
002133865	RL.10400	trent-demoursantoinepierredocument	http://library.duke.edu/rubenstein/findingaids/trent-demoursantoinepierredocument/
002133864	RL.10401	trent-derhamwpapers	http://library.duke.edu/rubenstein/findingaids/trent-derhamwpapers/
001636223	RL.10402	trent-desaultpj	http://library.duke.edu/rubenstein/findingaids/trent-desaultpj/
002133867	RL.10403	trent-devezejean	http://library.duke.edu/rubenstein/findingaids/trent-devezejean/
002137046	RL.10405	trent-dickenscharles	http://library.duke.edu/rubenstein/findingaids/trent-dickenscharles/
002160530	RL.10404	trent-dickreadgrantlypapers	http://library.duke.edu/rubenstein/findingaids/trent-dickreadgrantlypapers/
002137047	RL.10406	trent-dieffenbachjohannfriedrich	http://library.duke.edu/rubenstein/findingaids/trent-dieffenbachjohannfriedrich/
002137048	RL.10407	trent-dieulafoygeorgespapers	http://library.duke.edu/rubenstein/findingaids/trent-dieulafoygeorgespapers/
002137049	RL.10408	trent-dixdorothealyndepapers	http://library.duke.edu/rubenstein/findingaids/trent-dixdorothealyndepapers/
002137050	RL.10409	trent-doanegeorgebpapers	http://library.duke.edu/rubenstein/findingaids/trent-doanegeorgebpapers/
002138364	RL.10410	trent-dodgejamesrdocument	http://library.duke.edu/rubenstein/findingaids/trent-dodgejamesrdocument/
002137051	RL.10411	trent-domagkgerhardpapers	http://library.duke.edu/rubenstein/findingaids/trent-domagkgerhardpapers/
002137052	RL.10412	trent-doremusrobertogden	http://library.duke.edu/rubenstein/findingaids/trent-doremusrobertogden/
002137079	RL.10413	trent-downmanhughpapers	http://library.duke.edu/rubenstein/findingaids/trent-downmanhughpapers/
001646079	RL.10414	trent-drakebenjamin	http://library.duke.edu/rubenstein/findingaids/trent-drakebenjamin/
002137053	RL.10415	trent-drakedanielpapers	http://library.duke.edu/rubenstein/findingaids/trent-drakedanielpapers/
002137091	RL.10416	trent-draperjohnwilliam	http://library.duke.edu/rubenstein/findingaids/trent-draperjohnwilliam/
001646080	RL.10417	trent-dreyslaure	http://library.duke.edu/rubenstein/findingaids/trent-dreyslaure/
002137054	RL.10418	trent-duboisa	http://library.duke.edu/rubenstein/findingaids/trent-duboisa/
001636225	RL.10419	trent-duboisantoinepapers	http://library.duke.edu/rubenstein/findingaids/trent-duboisantoinepapers/
002137055	RL.10420	trent-dubosrenej	http://library.duke.edu/rubenstein/findingaids/trent-dubosrenej/
002137056	RL.10421	trent-duchennegbpapers	http://library.duke.edu/rubenstein/findingaids/trent-duchennegbpapers/
002137057	RL.10422	trent-dudleybenjaminwpapers	http://library.duke.edu/rubenstein/findingaids/trent-dudleybenjaminwpapers/
001609249	RL.10423	trent-dujardinbeaumetz	http://library.duke.edu/rubenstein/findingaids/trent-dujardinbeaumetz/
002147957	RL.10424	trent-dumerilaugustehenriandre	http://library.duke.edu/rubenstein/findingaids/trent-dumerilaugustehenriandre/
002137092	RL.10425	trent-duncanandrew	http://library.duke.edu/rubenstein/findingaids/trent-duncanandrew/
001658322	RL.10426	trent-duncang	http://library.duke.edu/rubenstein/findingaids/trent-duncang/
002137095	RL.10427	trent-duncanjamesmathews	http://library.duke.edu/rubenstein/findingaids/trent-duncanjamesmathews/
002137059	RL.10428	trent-dunglisonrobleypapers	http://library.duke.edu/rubenstein/findingaids/trent-dunglisonrobleypapers/
002137058	RL.10429	trent-dupuytrenguillaume	http://library.duke.edu/rubenstein/findingaids/trent-dupuytrenguillaume/
002137060	RL.10430	trent-durantedwarddocument	http://library.duke.edu/rubenstein/findingaids/trent-durantedwarddocument/
001636226	RL.10431	trent-dutrochethenri	http://library.duke.edu/rubenstein/findingaids/trent-dutrochethenri/
002147959	RL.10432	trent-earleplinypapers	http://library.duke.edu/rubenstein/findingaids/trent-earleplinypapers/
002169132	RL.10433	trent-eastlakecharleslock	http://library.duke.edu/rubenstein/findingaids/trent-eastlakecharleslock/
002137062	RL.10434	trent-eatonamospapers	http://library.duke.edu/rubenstein/findingaids/trent-eatonamospapers/
002137061	RL.10435	trent-eberlejohn	http://library.duke.edu/rubenstein/findingaids/trent-eberlejohn/
002143891	RL.10436	trent-edwardaugustus	http://library.duke.edu/rubenstein/findingaids/trent-edwardaugustus/
002137068	RL.10437	trent-ehrmannjohannchristianpapers	http://library.duke.edu/rubenstein/findingaids/trent-ehrmannjohannchristianpapers/
001636230	RL.10438	trent-einhornmaxletters	http://library.duke.edu/rubenstein/findingaids/trent-einhornmaxletters/
002169149	RL.10439	trent-eiselsberganton	http://library.duke.edu/rubenstein/findingaids/trent-eiselsberganton/
002137070	RL.10440	trent-elwynalfredlangdon	http://library.duke.edu/rubenstein/findingaids/trent-elwynalfredlangdon/
002137072	RL.10441	trent-emersongpapers	http://library.duke.edu/rubenstein/findingaids/trent-emersongpapers/
002147958	RL.10442	trent-emmetrobert	http://library.duke.edu/rubenstein/findingaids/trent-emmetrobert/
002143886	RL.10443	trent-emmetthomasaddis	http://library.duke.edu/rubenstein/findingaids/trent-emmetthomasaddis/
002137074	RL.10444	trent-engelmanngeorge	http://library.duke.edu/rubenstein/findingaids/trent-engelmanngeorge/
002137076	RL.10445	trent-esquiroletiennedocument	http://library.duke.edu/rubenstein/findingaids/trent-esquiroletiennedocument/
